Almond Butter,Bread Roll,Bread Sticks,Brown Bread,Brown Eggs,Bruschetta,Bun,Butter,Cage Free Eggs,Cereal,Cereal Drink,Chapati,Cheese,Cheese Block,Cheese Cubes,Cheese Slices,Cheesy Triangle,Chocos,Coconut Milk,Coffee Creamer,Condensed Milk,Corn Flakes,Cream Cheese,Croissant,Curd,Dairy Whitener,Diced Cheese,Eggs,Fat Spread,Flakes,Flavoured Yogurt,Focaccia,Free Range Eggs,Fresh Cream,Fresh Milk,Frozen Yogurt,Fruit Bread,Garlic Bread,Granola,Greek Yogurt,Health Drink,Kadaknath Eggs,Khoya,Kulcha,Loaf,Milk,Milk Bread,Milk Powder,Mishti Doi,Muesli,Multigrain Bread,Non-Dairy Drink,Oat Flour,Oats,Oats Flour,Paneer,Parantha,Pav,Pizza Base,Porridge,Protein Rich Eggs,Pullet Eggs,Quinoa,Regular Vermicelli,Roasted Vermicelli,Salted Butter,Shrikhand,Sourdough,Soy Milk,Speciality Eggs,Tofu,Unsalted Butter,Vermicelli,Wheat Bread,Wheat Flakes,White Bread,White Eggs,Yogurt Drink
8,39,13,746,75,0,984,172,1,130,1,118,59,150,97,406,6,27,0,0,44,72,1,0,2397,20,191,60,76,12,240,1,0,117,2701,6,26,367,3,101,197,0,9,0,33,572,252,0,222,55,330,0,0,113,2,1798,157,670,173,1,36,12,0,39,93,1355,15,0,0,44,181,61,3,1226,2,1231,640,20
8,0,9,76,111,0,180,95,3,52,0,19,28,38,38,265,2,9,1,0,13,31,3,0,1181,20,54,58,17,1,127,0,0,46,1445,5,0,75,0,75,103,1,4,33,0,429,106,0,98,29,94,0,0,34,0,537,25,77,16,0,50,10,0,12,34,774,6,0,0,49,32,43,0,190,2,217,607,14
116,1014,218,16119,2863,3,4142,2297,27,3396,41,306,771,1422,1561,6431,123,911,21,0,1234,2477,105,9,70752,951,728,1378,710,211,5996,7,201,2242,30393,167,1248,1722,66,3776,4440,6,137,572,429,0,5168,0,4899,2962,7604,0,7,3391,45,27569,1709,2593,328,16,648,260,29,657,1147,18635,417,3,0,2692,2666,738,153,21874,277,16936,22926,592
42,652,78,1177,699,0,1641,1002,6,672,5,58,211,470,514,2780,44,200,3,0,244,409,27,0,13234,213,470,453,276,36,1159,0,42,371,20493,25,575,544,6,472,938,0,34,252,106,5168,0,0,1120,252,892,0,0,510,1,5856,442,860,154,4,258,106,3,184,375,8823,58,0,0,668,393,378,17,2023,14,1655,7143,64
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,348,43,3163,447,0,1470,595,6,665,2,75,139,329,366,1535,22,132,6,0,240,425,14,1,27576,247,221,248,188,30,10923,0,19,408,16128,240,243,448,9,3522,1638,0,43,222,98,4899,1120,0,0,440,1207,0,0,770,8,7243,366,712,107,2,127,60,2,151,357,3995,608,0,0,330,725,174,16,4081,32,3174,3411,650
14,73,26,1284,271,0,367,266,6,1817,16,16,81,211,206,985,18,637,1,0,61,1856,11,0,3762,106,119,118,64,175,840,1,18,112,4664,16,86,127,78,583,501,0,9,55,29,2962,252,0,440,0,840,0,0,2521,20,1956,122,168,32,17,71,23,22,229,525,1936,36,0,0,192,342,73,35,1685,187,746,1624,92
106,297,204,1837,1730,0,1672,1886,20,638,25,73,416,679,668,4531,50,177,3,0,134,513,53,4,16720,185,401,768,259,48,1982,1,106,474,19825,68,343,787,23,1454,1453,3,15,330,94,7604,892,0,1207,840,0,0,1,1308,19,10730,431,920,130,1,521,153,9,207,547,8347,76,3,0,1123,1648,420,24,3125,57,3567,9901,252
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,1,5,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,1,0,0,6,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,1,4,0
