Almonds,Aloo Chips,Badi,Banana Chips,Bhakarwadi,Bhakarwadi Namkeen,Bhakri,Bhel Namkeen,Bhelpuri,Bhujia,Boondi Namkeen,Cashews,Chakli,Chana,Chana Jor,Cheese Balls,Cheese Cracker,Chips,Chivda Namkeen,Cocktail Nuts,Combo,Cookies,Corn,Corn Chips,Crisps,Dal,Dal Namkeen,Dried Mango,Flakes,Flavoured Almonds,Flavoured Cashew,Flax Seeds,Fryums,Gift Pack,Green Peas,Kachori,Kaju Badam,Khakhra,Khakhra Namkeen,Khari,Lachha,Makhana,Masala Kaju,Mathi,Mathri,Mathri Namkeen,Methi Mathi,Mix,Mixture,Mixture Namkeen,Murukku,Murukku Namkeen,Nacho,Nachos,Nachos & Salsa,Namak Para,Namakpara,Namkeen,Namkeen Mixture,Nuts,Pani Puri,Papad,Peanut Namkeen,Peanuts,Pita Chips,Popcorn,Potato Chips,Potato Stick,Potato Wafers,Puffs,Samosa,Seeds,Sev,Sevpuri,Snack,Soya Chips,Soya Sticks,Soyabeans,Sticks,Straws,Sweet Corn,Taco Shell,Taco Shells,Thattai,Trail Mix,Tub,Walnuts
0,6,7,20,5,17,0,41,1,71,10,0,0,7,1,6,0,46,9,1,4,0,0,0,69,0,17,0,0,1,1,0,1,0,1,0,0,13,0,0,2,20,0,4,6,11,2,1,1,40,0,24,0,33,4,0,3,177,0,0,0,43,53,0,0,20,91,1,1,38,0,0,14,2,4,0,2,1,0,1,0,1,0,0,1,0,0
0,0,0,8,2,8,1,4,0,7,4,1,8,0,0,3,0,4,2,1,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,1,0,0,0,0,0,0,10,0,3,0,1,0,1,0,25,0,0,0,4,5,0,0,4,9,0,0,2,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0
0,257,10,101,4,16,0,114,11,356,46,3,0,20,7,20,0,345,19,0,22,0,5,0,326,0,85,0,3,4,3,1,1,0,5,0,0,5,2,0,0,69,0,16,29,11,8,7,243,282,0,67,0,90,35,0,17,620,0,0,3,104,170,0,5,92,519,1,82,185,5,3,40,2,22,0,11,3,4,0,0,2,2,0,2,0,0
89,113,18,1269,38,239,8,973,196,1729,477,98,78,359,164,361,4,7133,151,166,316,1,20,0,4814,0,379,25,105,159,127,37,2,0,97,19,2,436,20,6,69,0,3,26,173,43,7,241,24,915,5,405,0,2389,540,0,29,5714,54,74,35,814,1833,6,52,2287,7102,4,70,2565,23,105,161,34,523,30,161,149,170,71,5,16,7,0,149,12,3
1,0,0,3,0,4,0,4,1,6,2,0,3,0,0,1,0,3,1,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,4,0,1,0,5,2,0,0,13,0,0,0,1,13,0,0,5,20,0,0,6,1,0,1,0,0,0,3,0,2,0,0,0,0,0,0,1,0
0,16,16,42,28,17,1,43,0,99,27,0,1,11,0,3,3,102,6,4,9,5,1,0,79,0,17,1,3,1,2,1,0,0,2,0,0,10,4,0,16,26,0,0,49,16,33,1,3,71,9,44,0,35,6,0,59,237,1,0,0,32,81,1,0,18,129,2,21,43,18,0,7,0,12,0,3,3,4,0,0,0,0,0,0,0,0
4,37,39,235,37,188,3,462,6,1327,420,6,9,119,6,54,0,898,48,9,35,0,1,0,975,0,333,1,6,7,7,1,0,0,7,1,2,54,6,0,29,173,0,49,0,88,27,19,9,1002,10,570,0,334,34,0,52,3581,2,0,0,348,1086,0,3,264,1347,3,51,407,38,5,113,4,33,0,10,7,4,0,1,1,2,0,3,1,0
0,6,17,62,18,47,1,125,0,390,110,1,1,45,1,10,0,247,13,0,13,0,1,0,274,0,78,0,0,1,2,0,1,0,2,0,0,6,11,0,11,43,0,16,88,0,10,5,3,283,1,131,0,89,14,0,25,996,0,0,1,94,316,0,4,79,350,2,9,102,14,1,22,2,12,0,6,2,2,0,2,0,0,0,2,1,0
0,5,8,23,11,9,0,10,1,56,20,0,0,7,0,2,0,55,1,4,1,0,4,0,39,0,12,0,0,1,1,0,0,0,2,0,0,5,2,0,8,7,0,33,27,10,0,1,1,41,0,28,0,20,4,0,47,144,0,0,0,13,52,0,1,15,74,0,7,27,17,0,3,1,2,0,0,1,0,0,0,0,0,0,1,0,0
10,9,3,67,1,12,0,72,9,117,48,10,1,32,17,20,0,426,10,44,30,1,3,0,246,0,25,4,8,27,10,4,0,0,20,0,0,10,1,0,7,241,0,1,19,5,1,0,3,80,0,28,0,218,61,0,4,413,8,10,3,57,328,1,4,98,464,1,10,161,2,31,8,1,103,0,8,17,5,3,1,0,2,0,21,1,1
0,241,3,37,1,6,0,14,0,65,14,0,0,7,2,8,0,68,16,3,1,0,4,0,59,0,14,1,1,0,1,0,0,0,1,0,0,1,1,0,243,24,0,3,9,3,1,3,0,61,0,12,0,18,2,0,2,106,0,0,0,27,38,0,1,20,109,0,27,31,0,0,7,0,5,0,1,0,0,0,0,1,0,0,0,0,0
20,155,131,2066,119,1034,7,5049,53,18165,3682,55,240,899,26,388,0,8586,1075,60,323,0,11,0,9948,0,4336,6,12,40,32,11,11,0,32,61,18,324,40,10,282,915,4,71,1002,283,41,80,61,0,30,1717,0,2874,338,0,97,28342,28,7,13,3472,8681,0,27,2863,13136,12,137,3699,80,40,1857,23,190,49,204,27,67,5,4,5,10,0,18,3,3
0,1,0,32,1,23,0,19,1,29,4,0,8,4,0,2,0,30,13,1,3,2,0,0,39,0,13,0,0,1,0,0,0,0,0,3,4,11,0,0,0,5,0,9,10,1,0,0,0,30,0,9,0,14,1,0,0,73,1,0,0,12,30,0,0,12,62,0,0,16,11,0,12,2,3,0,0,0,0,0,0,0,0,3,0,0,0
5,73,75,1134,75,809,1,1008,30,2213,716,16,206,190,9,152,0,1955,355,25,107,0,10,0,2291,0,697,6,5,16,5,1,6,0,16,22,0,181,24,3,67,405,1,44,570,131,28,28,12,1717,9,0,0,936,127,0,57,6392,15,2,8,610,1977,1,12,646,3250,5,95,971,27,22,381,9,125,22,62,10,38,2,1,1,6,0,9,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,179,73,2415,56,685,10,2789,76,6015,1395,40,182,317,43,1771,2,24870,281,96,1611,2,5,0,30618,0,1255,9,27,72,48,10,8,0,56,43,8,431,33,1,90,2389,5,35,334,89,20,218,18,2874,14,936,0,0,2698,0,21,13134,24,16,9,1891,6866,2,143,6041,38086,11,114,10606,44,49,527,21,483,95,672,30,167,33,11,93,53,0,41,22,2
12,51,11,446,12,92,0,433,48,748,133,10,27,46,11,307,0,3707,42,31,835,0,4,0,3714,0,123,4,9,18,12,3,1,0,15,5,1,68,4,0,35,540,2,6,34,14,4,61,2,338,1,127,1,2698,0,0,5,1686,5,5,6,265,851,0,202,948,4670,1,21,1624,4,14,44,7,112,17,129,8,52,4,0,34,11,0,9,8,0
0,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,11,43,37,11,0,36,1,145,30,4,0,12,1,6,0,110,4,3,4,0,4,0,101,0,17,0,1,1,2,1,0,0,5,0,0,7,3,0,17,29,0,59,52,25,47,4,2,97,0,57,0,21,5,0,0,299,1,0,1,36,121,0,1,40,137,0,33,56,22,3,11,1,6,0,1,1,2,0,0,2,0,0,1,1,0
71,725,412,7473,375,3581,31,15931,296,41818,12305,145,928,3384,213,2208,3,37817,2292,246,1598,4,36,0,47730,0,10784,25,111,157,136,44,47,0,210,250,38,1605,177,25,620,5714,13,237,3581,996,144,413,106,28342,73,6392,0,13134,1686,4,299,0,122,44,64,8636,28768,9,158,10683,57352,34,602,20239,230,220,3941,94,1249,260,1014,151,420,69,22,56,46,2,139,19,6
0,0,1,12,3,5,0,22,3,38,4,1,0,3,26,1,0,82,8,3,5,0,0,0,36,0,9,2,26,3,1,2,0,0,2,1,0,6,0,0,0,54,0,1,2,0,0,8,0,28,1,15,0,24,5,0,1,122,0,3,0,13,31,3,0,7,51,0,2,33,0,3,1,0,17,0,1,17,4,5,0,0,1,0,25,0,0
4,0,0,16,0,1,0,7,5,9,3,3,0,3,3,7,0,58,5,11,4,1,6,0,30,0,3,3,1,3,3,2,0,0,4,0,0,3,0,0,0,74,0,0,0,0,0,10,0,7,0,2,0,16,5,0,0,44,3,0,0,4,13,0,1,27,46,0,1,31,0,5,2,2,21,0,3,5,4,2,0,0,0,0,3,0,0
0,1,0,19,0,7,1,28,28,18,11,0,4,2,1,4,0,53,3,0,5,0,0,0,36,0,8,1,1,0,0,0,0,0,0,1,0,8,0,0,3,35,0,0,0,1,0,3,0,13,0,8,0,9,6,0,1,64,0,0,0,34,16,0,1,19,52,0,4,18,0,0,14,33,4,2,1,1,5,1,0,0,0,0,1,1,0
7,134,39,1259,38,390,36,1542,52,5650,2720,20,124,566,25,324,0,4819,389,25,230,2,2,0,5572,0,1086,9,26,22,11,12,141,0,29,26,8,537,43,4,104,814,1,32,348,94,13,57,27,3472,12,610,0,1891,265,1,36,8636,13,4,34,0,2527,0,24,2891,7817,3,93,2456,18,22,625,23,143,34,126,20,49,12,7,10,7,1,27,3,0
53,189,165,2237,140,1166,8,5080,65,14329,3840,113,261,1522,57,765,1,15554,462,170,653,1,16,0,14547,0,3997,9,23,84,50,14,10,0,86,86,11,404,53,5,170,1833,13,81,1086,316,52,328,38,8681,30,1977,0,6866,851,1,121,28768,31,13,16,2527,0,8,54,3561,22530,12,272,5847,67,64,894,31,601,79,330,55,113,14,8,18,18,0,40,8,3
0,0,0,2,0,0,0,1,1,0,0,0,1,1,0,1,0,16,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,1,0,2,0,0,0,9,3,0,0,0,8,0,0,2,4,0,0,4,0,2,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0
2,9,0,73,1,18,0,40,4,54,10,1,4,4,4,32,0,730,8,3,55,0,0,0,384,0,9,1,1,5,1,1,0,0,3,0,0,15,0,0,5,52,0,0,3,4,1,4,1,27,0,12,1,143,202,0,1,158,0,1,1,24,54,0,0,80,501,0,0,195,1,3,8,3,12,5,15,1,12,3,0,5,2,0,2,1,0
