Biryani Paste,Broth Powder,Cheese Sauce,Cheese Spread,Chilli,Chilli Oil,Chilli Pickle,Chilli Sauce,Chocolate Spread,Chutney,Chyawanprash,Coconut Cream,Coconut Milk,Combo,Cooking Spray,Creamy Peanut Butter,Crunchy Peanut Butter,Curry Paste,Dip,Dressing,Flavoured Mayonnaise,Garlic Paste,Ginger Garlic Paste,Ginger Paste,Gravy,Gravy Masala,Honey,Hummus Dip,Instant Mix,Jam,Ketchup,Lime Pickle,Mango Pickle,Mayonnaise,Miso Paste,Mixed Pickle,Murabba,Pasta Sauce,Peanut Butter,Pickle,Pizza & Pasta Sauce,Preserve,Puliogare Paste,Ready to Cook,Relish,Salad Dressing,Salsa,Salsa Dip,Sandwich Spread,Sauce,Schezwan Chutney,Soy Sauce,Spread,Tahini,Tamarind Paste,Tomato Ketchup,Tomato Paste,Tomato Puree,Vinegar,Wasabi Paste
0,0,10,1751,0,0,273,2982,453,1241,95,0,266,123,0,230,399,5,730,948,2611,303,2123,194,1,0,864,212,0,1228,1267,91,376,6125,0,402,3,42,244,109,3931,3,28,13,2,300,0,151,1812,0,1351,6051,128,0,321,8843,11,682,4185,0
0,0,1,242,0,0,80,355,99,218,17,0,31,15,0,49,114,0,45,86,229,27,323,18,0,0,169,14,0,244,121,22,112,1181,0,115,1,1,39,41,497,0,1,0,1,14,0,14,298,1351,0,413,23,0,27,1260,2,96,317,0
0,0,0,200,0,0,54,808,77,85,14,0,70,15,0,40,67,0,45,63,164,91,491,41,0,0,215,12,0,241,254,13,71,756,0,76,1,7,49,18,477,0,4,0,0,23,0,8,181,6051,413,0,8,0,27,1751,2,108,3376,0
0,0,0,109,0,0,8,29,82,3,6,0,7,8,0,41,69,0,19,10,38,8,42,6,0,0,55,3,0,140,27,3,15,159,0,7,0,1,28,9,67,0,0,0,0,3,0,5,81,128,23,8,0,0,8,160,0,14,15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,42,0,0,12,53,20,88,3,0,60,2,0,7,13,2,20,6,33,56,370,51,0,0,40,7,0,40,28,3,21,87,0,13,0,2,8,4,94,0,16,0,0,3,0,1,24,321,27,27,8,0,0,193,13,78,45,0
0,0,2,1739,0,0,342,2115,857,491,155,0,163,77,0,426,768,1,277,322,1366,251,2124,174,0,0,1934,68,0,5218,378,141,787,10351,0,846,3,11,335,131,3301,6,16,5,2,110,0,67,1566,8843,1260,1751,160,0,193,0,5,842,1888,0
0,0,0,7,0,0,1,3,0,3,1,0,9,0,0,3,0,2,2,2,2,10,28,7,0,0,0,0,0,3,4,0,0,6,0,0,0,0,1,1,5,2,4,0,0,0,0,0,0,11,2,2,0,0,13,5,0,22,1,0
0,0,1,279,0,0,19,212,61,91,13,0,286,9,0,32,33,3,69,47,98,232,1523,132,1,0,143,29,0,137,104,10,45,335,0,30,0,6,22,15,413,0,1,4,1,6,0,16,89,682,96,108,14,0,78,842,22,0,187,0
0,0,0,230,0,0,50,621,96,88,21,0,77,7,0,42,94,4,54,106,150,71,469,39,1,0,399,18,0,262,220,16,87,822,0,98,0,5,72,10,461,0,1,1,0,44,0,9,183,4185,317,3376,15,0,45,1888,1,187,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
