Amla,Biscuit,Bite,Bubble Gum,Burfi,Candy,Cham cham,Chewing Gum,Chikki,Choco Chips,Chocolate,Chocolate Bag,Chocolate Bar,Chocolate Gift Box,Chocolate Gift Pack,Chocolate Share Bags,Dark Chocolate,Dark Chocolate Bar,Dates,Digestive Tablets,Filled Bar,Filled Bars,Frozen Dessert,Gajak,Gift Box,Gift Pack,Gujia,Gujiya,Gulab Jamun,Gulkand,Gum,Halwa,Ice Cream,Jelly,Katli,Kulfi,Laddu,Lollipop,Lozenges,Marshmallow,Milk Chocolate,Mouth Freshener,Pak,Papad,Patisa,Petha,Raj Bhog,Ras Malai,Rasgulla,Rewdi,Rewri,Sauce,Shaped Chocolates,Snack,Soan Papdi,Stick Kulfi,Sundae,Sweet,Sweets,Syrup,Toffee,Toffee Pack,Wafer Bar,Wafer Chocolate,Wafer Roll,Wafers,White Chocolate
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6,6,2,1,0,0,15,0,14,0,9,2,4,0,1,3,3,0,15,0,0,0,0,0,12,0,0,0,15,0,17,0,19,1,0,0,0,7,0,1,0,4,8,1,18,0,0,0,10,0,0,1,0,0,0,0,0,0,5,5,0,0,0
0,0,1,0,4,581,0,81,8,0,780,0,1042,0,138,95,347,10,0,122,153,4,1232,1,0,1,0,0,26,0,0,0,1193,0,21,28,55,57,0,0,126,175,15,1,1,27,9,7,51,0,0,0,723,0,4,86,0,0,0,0,1,2,288,156,0,131,0
0,0,1,0,0,58,0,5,1,0,22,0,17,0,3,4,2,1,0,3,3,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,1,3,0,0,0,3,4,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,1,0,0,3,1,0,3,0
0,0,0,0,0,74,0,6,1,0,31,0,18,0,11,4,5,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,7,0,0,4,0,11,0,0,5,6,1,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,2,0,0,7,3,0,6,0
0,0,6,0,8,1850,5,274,48,0,6477,1,4912,0,617,606,966,29,0,263,1761,21,1026,0,0,0,0,0,69,0,0,2,1177,0,77,71,193,325,0,0,804,308,43,9,5,49,18,3,119,0,0,0,3881,0,10,188,0,0,5,288,3,7,0,1108,1,1885,0
0,0,2,0,7,871,1,157,20,0,3479,0,6058,0,273,135,1233,30,0,108,1527,39,558,0,0,2,0,1,27,0,0,1,635,0,35,30,58,131,0,0,935,176,11,2,2,18,4,0,46,0,0,0,2719,0,2,123,0,0,5,156,1,3,1108,0,1,192,0
0,0,0,0,0,0,0,1,0,0,4,0,6,0,1,1,3,2,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0
0,0,4,0,5,1004,2,87,31,0,2182,0,1126,0,347,286,278,7,0,140,236,3,368,0,0,1,0,0,33,0,0,1,377,0,22,20,73,131,0,0,156,120,25,5,2,18,4,2,53,0,0,0,1091,0,11,50,0,0,0,131,3,6,1885,192,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
