Aloo Tikki,Alphabytes,Bacon,Bar,Batter,Beans,Bites,Breakfast Bar,Breakfast Mix,Capers (Kachra),Chapati,Cheesy Triangle,Chicken,Chicken & Cheese Nuggets,Chicken Breast,Chicken Meatballs,Chicken Sausage,Chicken Tikka,Coconut,Combo,Crispy Potato,Cup Noodles,Curry,Custard Powder,Dal Makhani,Dessert Mix,Domestic Pasta,Dosa Mix,Drink Mix,Energy Bar,Fingers,Fish,Flakes,Flavoured Instant Noodles,Flavoured Milk,French Fries,Fries,Fruit Cocktail,Gherkins,Green Peas,Hakka Noodles,Ham,Health Drink,Idli,Instant Mix,Instant Pasta,Jalapeno,Kabuli Chana,Kala Chana,Kebab,Khichdi Mix,Kimchi,Macaroni,Masala Mix,Mix,Mixed Vegetables,Momos,Mushroom,Naan,Noodles,Nori Sheet,Nugget,Nuggets,Nutrition Bar,Olives,Pani Puri,Parantha,Paratha,Parota,Pasta,Pasta Kit,Patty,Peppercorns,Pineapple,Pizza Pocket,Popcorn,Pops,Prawns,Protein Bar,RTE Wrap,Ragi Flour,Rajma,Raw Chicken,Ready to Eat,Rice Flour,Rice Masala,Rice Paper,Salami,Samosa,Sauce,Sausage,Smiles,Soup,Soya Chaap,Soyabeans,Spaghetti,Spice Mix,Spring Roll,Sweet Corn,Taco Kit,Taco Shells,Thepla,Tomatoes,Tortilla,Upma,Vada,Wedges
183,15,20,0,653,2,4,80,880,0,5,36,15,23,8,4,76,0,34,12,0,2708,0,3,3,64,823,3,2,46,124,6,0,0,0,457,51,7,0,443,171,17,0,18,186,4804,0,4,5,165,0,0,580,1,25,62,462,0,3,13615,0,13,654,252,32,7,54,19,10,308,0,233,0,8,127,80,3,49,227,22,2,4,13,414,0,59,0,207,1,0,286,112,828,89,0,0,4,6,267,0,0,0,0,2,52,17,4
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2436,325,14,0,664,2,24,20,598,0,2,368,49,94,12,3,84,7,32,1,2,308,0,5,2,52,630,1,3,12,1947,9,0,457,0,0,263,11,0,1066,75,22,0,35,171,868,0,2,1,527,0,0,503,5,27,99,734,0,11,3729,0,192,9306,58,41,9,137,17,2,195,0,1720,0,12,1805,347,1,27,65,45,2,0,4,168,0,29,0,192,30,0,295,3565,180,218,0,0,3,39,678,0,0,0,0,3,38,113,146
56,20,8,0,27,0,1,0,24,0,0,30,39,23,8,7,40,2,3,0,0,29,0,0,0,1,21,1,0,1,78,5,0,51,1,263,0,0,0,44,3,8,0,1,8,46,0,0,0,248,0,0,7,0,1,4,154,0,1,153,0,46,419,3,1,1,12,2,0,10,0,228,0,1,107,146,0,18,5,4,0,0,2,20,0,2,0,112,4,0,153,39,7,6,0,0,1,4,22,0,0,0,0,3,4,8,4
1,1,0,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,2,14,0,0,0,5,0,0,7,0,11,0,0,0,13,2,0,0,0,3,8,0,0,0,3,0,0,9,0,10,2,6,0,0,26,0,0,12,2,5,0,2,0,1,1,0,5,0,26,0,0,0,0,3,2,0,0,2,3,0,0,0,1,0,0,2,4,2,2,0,0,0,0,16,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,41,8,0,2257,2,3,22,1066,0,6,59,15,20,3,3,63,5,327,4,1,255,0,5,3,131,1005,8,9,39,304,7,1,443,0,1066,44,13,0,0,87,23,0,18,410,622,0,5,3,295,0,0,944,2,36,1001,257,0,5,5761,0,34,1148,152,58,4,105,16,2,302,0,410,0,16,255,70,0,54,144,25,5,1,13,153,0,70,0,179,6,0,235,387,266,520,0,0,7,21,5176,0,0,0,0,7,48,35,18
19,1,1,0,88,0,0,2,55,0,1,1,0,1,0,2,7,0,7,7,0,57,0,2,0,16,213,0,2,2,10,1,1,171,0,75,3,2,0,87,0,5,0,2,45,128,0,0,1,16,0,0,119,0,4,9,31,0,1,929,0,6,54,14,10,2,10,1,1,82,0,31,0,1,15,6,0,6,6,2,0,1,2,11,0,19,0,12,1,0,22,22,64,15,0,0,1,1,51,0,0,0,0,0,5,1,0
7,2,36,0,18,0,1,1,9,0,0,3,4,9,4,3,49,1,2,1,0,4,0,0,0,0,15,0,0,2,5,6,0,17,0,22,8,0,0,23,5,0,0,0,4,13,0,0,0,97,0,0,8,0,1,7,47,0,2,73,0,5,43,9,3,1,8,1,1,8,0,63,0,0,8,10,0,11,15,8,0,0,2,9,0,0,0,340,1,0,264,4,8,3,0,0,0,1,9,0,0,0,0,1,1,3,0
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7,1,0,82,0,1,0,63,0,0,2,0,0,1,0,1,0,9,0,0,7,0,1,0,1,11,1,0,1,11,1,0,18,0,35,1,0,0,18,2,0,0,0,26,17,0,0,0,8,0,0,9,0,2,5,24,0,5,58,0,2,32,1,0,0,21,1,0,1,0,14,0,0,13,6,0,1,0,1,0,0,0,22,0,0,0,6,0,0,3,12,5,5,0,0,1,1,12,0,0,0,0,0,2,77,1
105,7,1,0,1337,1,2,15,2495,0,5,14,3,1,0,0,6,1,51,5,0,122,0,3,3,130,242,15,14,17,60,0,0,186,0,171,8,3,0,410,45,4,0,26,0,337,0,2,1,31,1,0,191,2,78,37,70,0,4,1417,0,2,172,49,18,2,58,4,3,79,0,83,0,5,59,10,0,7,47,11,4,0,4,318,0,160,0,19,1,0,35,47,178,53,0,0,63,3,160,0,0,0,0,5,86,24,4
413,42,9,0,881,1,4,87,1883,0,4,61,15,25,3,3,53,0,28,4,1,2655,0,13,13,96,2085,2,2,36,228,1,0,4804,0,868,46,8,0,622,128,13,0,17,337,0,0,6,4,142,0,0,1480,2,35,66,331,0,2,20678,0,26,1144,262,30,14,78,8,3,905,0,328,0,9,252,59,1,29,213,20,4,3,4,559,0,51,0,134,2,0,186,299,1400,118,0,0,6,6,463,0,0,0,0,1,154,32,18
