Agar Agar Powder,Bagel,Bakery Cookies,Baking Powder,Baking Soda,Banana Bread,Biscuit,Biscuits Gift Pack,Bourbon Biscuits,Bread Crumbs,Brownie,Butter Cookies,Cake,Cake Decoration,Cake Mix,Candy,Center Filled Biscuits,Choco Pie,Chocolate Cake,Chocolate Cookies,Cocoa Powder,Coconut Milk Powder,Color,Combo,Cookie Mix,Cookies,Cookies Gift Pack,Corn Flour,Cracker,Crackers,Cream Biscuits,Cream Roll,Crisps,Croissant,Cupcake,Custard Mix,Custard Powder,Drip,Dust,Essence,Food Colour,Fresh Bakery Cake,Fresh Bakery Cookies,Frosting,Fruit Cake,Gelatin,Gift Box,Glucose & Milk Biscuits,Gluten,Gum Powder,Healthy & Digestive,Jelly,Lavash,Loaf,Marie Biscuits,Milk,Mix,Multigrain Bread,Pancake Mix,Paste,Pastry,Pie,Pizza Base,Potato Biscuits,Powder,Puff Roll,Rusk,Sandwich Cream Biscuits,Sheets,Shortening,Sourdough,Sprinkles,Sweet & Salty Biscuits,Sweets,Swiss Roll,Toast,Topping,Wafer Bar,Wafer Roll,Wafers,Waffle,Wheat Bread,Yeast,Yeast Extract,Yeast Flakes
0,0,15,2,1,1,96,0,3,0,1,2,7,0,1,3,4,23,1,2,1,0,0,2,0,74,0,0,5,51,6,0,1,7,0,0,2,0,0,2,0,1,18,0,12,0,0,4,0,0,6,1,0,2,11,0,0,3,2,0,0,1,1,6,1,21,14,35,0,0,0,0,38,0,6,0,2,1,2,16,0,2,0,0,0
0,0,4,1,1,1,70,0,0,0,1,0,3,0,0,0,1,1,3,2,1,0,0,0,0,35,0,0,0,4,4,0,0,6,3,0,0,0,0,2,1,1,4,0,9,0,0,3,0,0,2,0,2,0,14,0,0,60,3,0,0,1,6,0,0,9,16,14,0,0,4,0,4,0,0,1,0,0,2,0,0,72,0,0,0
0,0,511,144,240,2,33646,57,461,0,38,215,792,0,78,97,616,1230,848,30,91,0,0,132,1,9684,0,0,62,16,2470,11,13,394,83,0,383,0,0,136,28,5,33,0,2632,0,0,686,0,0,149,28,11,14,0,0,7,9,107,3,0,24,10,259,11,1463,6470,7198,0,0,0,48,5936,8,334,10,5,3,253,928,8,17,9,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,9,8,0,86,0,1,0,6,0,14,0,37,1,5,10,8,1,3,0,0,1,1,37,0,0,0,0,5,0,0,5,1,0,134,1,0,11,3,0,0,0,25,0,2,1,0,0,0,18,0,0,7,0,0,0,6,1,0,2,0,2,2,24,13,33,0,0,0,12,7,1,4,0,3,0,3,8,1,0,6,0,0
0,0,1,0,1,0,48,0,0,0,0,0,3,0,0,0,0,4,0,1,1,0,0,0,0,23,0,0,1,3,2,0,0,6,1,0,0,0,0,1,0,0,1,0,2,0,0,2,0,0,1,0,3,60,9,0,0,0,3,0,0,2,3,0,0,7,10,9,0,0,1,0,7,0,0,0,0,0,1,2,0,47,0,0,0
0,0,32,33,39,2,689,6,9,0,9,3,72,0,85,11,20,83,47,10,17,0,0,21,1,370,0,0,10,1,42,1,1,51,13,0,48,1,0,57,5,2,8,0,121,0,0,22,0,0,4,8,2,3,107,0,6,3,0,0,0,4,2,13,10,174,130,255,0,0,0,13,64,0,29,1,11,0,26,45,25,5,1,0,0
0,0,1,4,3,0,5,0,0,0,0,0,0,0,14,0,0,1,2,0,4,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,2,7,1,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,2,0,7,0,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,28,3,4,1,213,1,12,0,13,0,122,0,5,17,10,167,11,3,0,0,0,59,0,179,0,0,2,1,25,0,1,47,103,0,3,0,0,5,0,1,2,0,115,0,1,2,0,0,3,0,1,1,24,0,2,2,4,0,0,0,0,18,1,326,29,114,0,0,0,4,26,0,74,1,1,1,23,55,0,0,0,0,0
