Bathroom Cleaner,Bathroom Wiper,Bottle Brush,Broom,Cleaner,Cleaner Wipes,Combo,Detergent Bar,Detergent Pods,Detergent Powder,Dishwash Bar,Dishwash Gel,Dishwash Paste,Dishwash Powder,Dishwash Salt,Dishwash Tablet,Dishwashing Tub,Disinfectant,Disinfectant Spray,Drain Cleaner,Dustbin,Duster,Dustpan,Dustpan & Brush,Fabric Conditioner,Floor Cleaner,Floor Cloth,Fruit & Vegetable Wash,Glass Cleaner,Hand Gloves,Herbal Floor Cleaner,Keyboard Brush,Kitchen Brush,Kitchen Cleaner,Kitchen Wiper,Laundry Disinfectant,Liquid Detergent,Liquid Fabric Stiffener,Liquid Fabric Whitener,Liquid Shoe Polish,Matic Detergent Powder,Matic Liquid Detergent,Microfiber Cloth,Mop,Mop Refill,Multi Purpose Cleaner,Phenyl,Plunger,Powdered Fabric Stiffener,Rod,Sanitizer,Scrub,Scrub Pad,Scrubber,Shoe Brush,Shoe Polish,Sink Brush,Soap Dispenser,Soap Dispenser Pump,Spin Mop,Sponge,Sponge Cloth,Sponge Scrub,Sponge Wipe,Spray,Stain Remover,Steel Scrubber,Surface Cleaner,Tile Brush,Toilet Brush,Toilet Cleaner,Toilet Cleaner Block,Urinal Cubes,Wiper,Wipes,Woollen Liquid Detergent
4351,1,127,2595,0,0,579,24612,16,48066,0,12176,0,11,2,18,1563,818,519,1003,77,235,371,0,3166,16162,510,33,5011,0,283,0,1,621,133,6,2688,317,2321,22,9262,7157,43,106,23,112,10103,33,137,3,90,516,10089,42,106,76,210,2,27,28,357,0,2090,1280,202,1606,8975,53,41,627,23856,1342,12,665,256,1331
3871,0,220,2024,0,0,665,6845,14,18957,12176,0,0,86,9,71,1943,870,623,824,115,279,560,0,3603,14060,644,33,4527,0,313,0,4,889,199,8,2827,215,1441,21,5865,7570,61,159,39,180,5218,42,50,2,86,469,6983,39,74,41,235,13,176,95,240,1,2446,1515,193,1462,5834,39,37,667,16527,1366,12,764,326,1075
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,4,0,0,0,2,0,20,11,86,0,0,9,8,6,3,3,2,0,2,1,0,11,14,3,0,5,0,0,0,0,2,3,0,5,1,0,0,14,21,0,1,2,0,3,0,1,0,0,0,7,0,0,0,1,0,1,0,0,0,1,7,0,1,2,0,1,1,19,2,0,1,2,0
1,0,0,1,0,0,1,1,0,1,2,9,0,9,0,3,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0
6,0,0,2,0,0,0,3,0,24,18,71,0,8,3,0,8,3,7,10,0,2,0,0,11,22,1,1,11,0,3,0,0,2,0,0,9,1,2,0,22,23,0,1,1,0,7,0,1,0,0,2,4,0,0,0,2,0,2,0,0,0,4,9,0,6,2,0,0,1,34,6,0,2,5,3
866,0,29,494,0,0,129,2719,2,5849,1563,1943,0,6,0,8,0,164,115,220,35,55,129,0,723,2572,134,11,771,0,72,0,0,178,34,1,466,39,367,6,1472,1192,15,26,10,22,1389,6,15,0,24,112,1092,9,18,9,47,1,8,13,67,1,325,274,43,315,1829,11,13,152,3692,308,3,165,63,199
308,0,12,156,0,0,45,421,1,1095,818,870,0,3,0,3,164,0,456,91,11,37,50,0,459,1027,68,13,317,0,33,0,0,101,18,10,256,23,119,0,373,575,8,19,7,21,377,2,6,1,25,20,259,5,8,0,34,0,4,13,18,0,125,109,22,183,254,6,4,68,1058,148,4,73,167,91
206,0,14,132,0,0,28,243,2,652,519,623,0,3,0,7,115,456,0,74,19,27,56,0,194,695,77,12,254,0,22,0,0,107,18,4,140,9,60,1,267,317,1,22,8,37,230,1,1,0,151,19,224,3,5,0,32,1,10,11,22,1,110,119,39,91,184,3,8,80,741,111,2,95,690,51
533,0,21,220,0,0,67,445,1,1130,1003,824,0,2,0,10,220,91,74,0,18,47,56,0,280,1058,72,7,399,0,44,0,0,220,23,2,171,21,147,3,382,435,11,22,7,27,576,225,5,0,37,39,388,7,8,8,45,1,14,8,32,1,158,140,24,168,396,4,11,142,2224,536,5,125,53,66
